Business Name,Business Type,Website,Phone Number,Address,Email
Long & Short Barber Co. (Downtown Brooklyn),Barber Shop,http://longshortbarber.com/,(347) 335-0588,"278 Livingston St, Brooklyn, NY 11217",N/A
B & H Barber Shop - East Village Barbershop,Barber Shop,https://bhbarbershop.com/,(646) 896-1090,"199 E 4th St, New York, NY 10009",info@kosa.com
Barber's Point,Barber Shop,http://instagram.com/barberspointsoho,(646) 484-6698,"59 Thompson St, New York, NY 10012",N/A
PHD Barbers,Barber Shop,http://phdbarbers.com/,(212) 510-7985,"228 Avenue B, New York, NY 10009",phdbarbersnyc@gmail.com
Mera Kitchen Collective,Restaurant,http://www.mera.kitchen/,(443) 681-9855,"1301 N Calvert St, Baltimore, MD 21202",N/A
Woodberry Kitchen,Restaurant,http://www.woodberrykitchen.com/,,"2010 Clipper Park Rd Suite 126, Baltimore, MD 21211",askus@woodberrykitchen.com
Charleston,Restaurant,https://charlestonrestaurant.com/,(410) 332-7373,"1000 Lancaster St, Baltimore, MD 21202",N/A
Hersh’s,Restaurant,http://hershs.com/,(443) 438-4948,"1843-45 Light St, Baltimore, MD 21230",N/A
Sotto Sopra,Restaurant,https://www.sottosoprainc.com/,(410) 625-0534,"405 N Charles St, Baltimore, MD 21201",sottosoprainc@gmail.com
Rusty Scupper Restaurant & Bar,Restaurant,http://www.rusty-scupper.com/,(410) 727-3678,"402 Key Hwy, Baltimore, MD 21230",N/A
The Bygone,Restaurant,http://www.thebygonerestaurant.com/,(443) 343-8200,"400 International Drive 29th floor, Baltimore, MD 21202",N/A
Marta Fine Food and Spirits,Restaurant,https://www.martabaltimore.com/,(443) 708-5962,"2127 E Pratt St, Baltimore, MD 21231",N/A
docks,Restaurant,,,"621 E Pratt St #100, Baltimore, MD 21202",N/A
Ammoora,Restaurant,https://ammoora.com/,(410) 872-6600,"751 Key Hwy, Baltimore, MD 21230",N/A
Nature USA,Clothing Store,http://www.natureusa.net/,(310) 667-9030,"3097 E Ana St, Compton, CA 90221",N/A
Curated Brands,Clothing Store,https://www.curatedbrands.co/,(424) 900-2772,"1220 Maple Ave, Los Angeles, CA 90015",N/A
American Rag Cie,Clothing Store,http://americanrag.com/,(323) 935-3154,"150 S La Brea Ave, Los Angeles, CA 90036",N/A
Made In U.S.A,Clothing Store,,,"Los Angeles, CA 90015",N/A
Curtis & Company Apparel,Clothing Store,http://shopangelicacurtis.com/,(310) 916-9270,"305 E 9th St #328, Los Angeles, CA 90015",N/A
Bleu Clothing,Clothing Store,https://bleuclothing.com/,(323) 939-2228,"7378 Beverly Blvd, Los Angeles, CA 90036",N/A
Clover,Clothing Store,http://www.cloversilverlake.com/,(323) 661-4142,"2756 Rowena Ave, Los Angeles, CA 90039",N/A
United Apparel Group Inc,Clothing Store,http://www.vertigousa.com/,(213) 745-5574,"1717 S Figueroa St, Los Angeles, CA 90015",info@vertigousa.com
General Quarters,Clothing Store,http://www.generalquarters.com/,(323) 937-5391,"153 S La Brea Ave, Los Angeles, CA 90036",N/A
2.7 August Apparel Inc.,Clothing Store,https://27augustapparel.com/,(213) 742-0121,"3775 Broadway Pl, Los Angeles, CA 90007",service@27augustapparel.com
